"Year","Area","Street","Street.2"
2011,"Birmingham","Acocks̴Green","Acocks Green"
2011,"Birmingham","Adderly̴St","Adderly St"
2011,"Birmingham","Alcester̴Rd,̴Mosley","Alcester Rd, Mosley"
2011,"Birmingham","Alcester̴Rd","Alcester Rd"
2011,"Birmingham","Alcester̴Rd̴Moseley","Alcester Rd Moseley"
2011,"Birmingham","Alcester̴Rd̴Moseley","Alcester Rd Moseley"
2011,"Birmingham","Alfred̴St","Alfred St"
2011,"Birmingham","All̴Service̴Club,̴Mosley","All Service Club, Mosley"
2011,"Birmingham","Alum̴Rock̴Rd","Alum Rock Rd"
2011,"Birmingham","Alum̴Rock̴Rd","Alum Rock Rd"
2011,"Birmingham","Alum̴Rock̴Rd","Alum Rock Rd"
2011,"Birmingham","Alum̴Rock̴Rd","Alum Rock Rd"
2011,"Birmingham","Arcadian̴Centre","Arcadian Centre"
2011,"Birmingham","Arden̴Rd,̴Saltley","Arden Rd, Saltley"
2011,"Birmingham","Asda,̴Chemsley̴Wood","Asda, Chemsley Wood"
2011,"Birmingham","Balsahll̴Heath̴Park,̴J/W̴Brighton̴Rd","Balsahll Heath Park, J/W Brighton Rd"
2011,"Birmingham","Bamford̴Rd","Bamford Rd"
2011,"Birmingham","Bamford̴Rd","Bamford Rd"
2011,"Birmingham","Beechbrook̴Ave̴Sparkhill","Beechbrook Ave Sparkhill"
2011,"Birmingham","Belchers̴Ln","Belchers Ln"
2011,"Birmingham","Belchers̴Ln","Belchers Ln"
2011,"Birmingham","Belchers̴Ln","Belchers Ln"
2011,"Birmingham","Belchers̴Ln,̴Bordesley̴Green","Belchers Ln, Bordesley Green"
2011,"Birmingham","Bell̴St","Bell St"
2011,"Birmingham","Berkley̴Rd̴East̴,̴̴Haymills","Berkley Rd East, Haymills"
2011,"Birmingham","Birmingham̴Airport","Birmingham Airport"
2011,"Birmingham","Birmingham̴International̴Railway̴Station","Birmingham International Railway Station"
2011,"Birmingham","Bordesley̴Green","Bordesley Green"
2011,"Birmingham","Bordesley̴Green̴,̴̴Bordesley̴Green","Bordesley Green, Bordesley Green"
2011,"Birmingham","Bristol̴Rd","Bristol Rd"
2011,"Birmingham","Bristol̴St","Bristol St"
2011,"Birmingham","Broad̴St","Broad St"
2011,"Birmingham","Broad̴St","Broad St"
2011,"Birmingham","Broad̴St̴Birmingham","Broad St Birmingham"
2011,"Birmingham","Buckland̴End̴Ln̴Shard̴End","Buckland End Ln Shard End"
2011,"Birmingham","Bulls̴Head̴Ph,̴St̴Marys̴Row","Bulls Head Ph, St Marys Row"
2011,"Birmingham","Bushbury̴Rd,̴Kitts̴Green","Bushbury Rd, Kitts Green"
2011,"Birmingham","Chartice̴Rd","Chartice Rd"
2011,"Birmingham","Chestnut̴Rd","Chestnut Rd"
2011,"Birmingham","Church̴Rd,̴Stechford","Church Rd, Stechford"
2011,"Birmingham","Church̴Rd,̴Sheldon","Church Rd, Sheldon"
2011,"Birmingham","Clifford̴Rd̴Dorridge","Clifford Rd Dorridge"
2011,"Birmingham","Clock̴Ln","Clock Ln"
2011,"Birmingham","Colonial̴Rd,̴Bordesley̴Green","Colonial Rd, Bordesley Green"
2011,"Birmingham","Corporation̴St,Birmingham","Corporation St,Birmingham"
2011,"Birmingham","Corporation̴St","Corporation St"
2011,"Birmingham","Coventry̴Rd̴Small̴Heath","Coventry Rd Small Heath"
2011,"Birmingham","Coventry̴Rd,̴Small̴Heath,̴Bham","Coventry Rd, Small Heath, Bham"
2011,"Birmingham","Coventry̴Rd","Coventry Rd"
2011,"Birmingham","Coventry̴Rd","Coventry Rd"
2011,"Birmingham","Coventry̴Rd","Coventry Rd"
2011,"Birmingham","Coventry̴Rd","Coventry Rd"
2011,"Birmingham","Coventry̴Rd","Coventry Rd"
2011,"Birmingham","Coventry̴Rd,̴Small̴Heath","Coventry Rd, Small Heath"
2011,"Birmingham","Coventry̴Rd,̴Small̴Heath","Coventry Rd, Small Heath"
2011,"Birmingham","Coventry̴Rd,Small̴Heath","Coventry Rd,Small Heath"
2011,"Birmingham","Cranes̴Park̴Rd","Cranes Park Rd"
2011,"Birmingham","Cranes̴Park̴Rd̴Sheldon","Cranes Park Rd Sheldon"
2011,"Birmingham","Crossfield̴Rd","Crossfield Rd"
2011,"Birmingham","Crossfields̴Rd̴Kitts̴Green","Crossfields Rd Kitts Green"
2011,"Birmingham","Cxhurch̴Rd,̴Stechford,̴Bham","Cxhurch Rd, Stechford, Bham"
2011,"Birmingham","Digbeth̴High̴St","Digbeth High St"
2011,"Birmingham","Edgbaston̴Rd","Edgbaston Rd"
2011,"Birmingham","Edward̴Rd ̴Moseley","Edward Rd Moseley"
2011,"Birmingham","Fighting̴Cox̴Ph","Fighting Cox Ph"
2011,"Birmingham","Foremans̴Rd,̴Sparkhill","Foremans Rd, Sparkhill"
2011,"Birmingham","Front̴Office,̴Kings̴Heath","Front Office, Kings Heath"
2011,"Birmingham","Garretts̴Green̴Rd,̴Garretts̴Green","Garretts Green Rd, Garretts Green"
2011,"Birmingham","Giles̴Close","Giles Close"
2011,"Birmingham","Giles̴Close,̴Stechford","Giles Close, Stechford"
2011,"Birmingham","Glazedale̴Rd","Glazedale Rd"
2011,"Birmingham","Gospel̴Farm̴Rd","Gospel Farm Rd"
2011,"Birmingham","Gospel̴Farm̴Rd","Gospel Farm Rd"
2011,"Birmingham","Gospel̴Ln","Gospel Ln"
2011,"Birmingham","Gospel̴Ln","Gospel Ln"
2011,"Birmingham","Gospel̴Ln","Gospel Ln"
2011,"Birmingham","Gospel̴Ln,̴Acocks̴Green","Gospel Ln, Acocks Green"
2011,"Birmingham","Grace̴Church,̴Sutton̴Coldfield","Grace Church, Sutton Coldfield"
2011,"Birmingham","Great̴Hampton̴St","Great Hampton St"
2011,"Birmingham","Green̴Ln","Green Ln"
2011,"Birmingham","Greswell̴Ln̴Shard̴End","Greswell Ln Shard End"
2011,"Birmingham","Harlequin̴Drive,̴Mosley","Harlequin Drive, Mosley"
2011,"Birmingham","Haslucks̴Green̴Rd","Haslucks Green Rd"
2011,"Birmingham","Hazeldean̴Rd","Hazeldean Rd"
2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital"
2011,"Birmingham","Heartlands̴Hospital","Heartlands Hospital"
2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E","Heartlands Hospital A & E"
2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E","Heartlands Hospital A & E"
2011,"Birmingham","Heartlands̴Hospital̴A̴&̴E","Heartlands Hospital A & E"
2011,"Birmingham","Hepben̴Grove","Hepben Grove"
2011,"Birmingham","Herrick̴Rd","Herrick Rd"
2011,"Birmingham","Herrick̴Rd,̴Washwood̴Heath","Herrick Rd, Washwood Heath"
2011,"Birmingham","Herrick̴Rd,̴Washwood̴Heath","Herrick Rd, Washwood Heath"
2011,"Birmingham","High̴St̴Solihull","High St Solihull"
2011,"Birmingham","High̴St̴Kings̴Heath","High St Kings Heath"
2011,"Birmingham","High̴St̴Kings̴Heath","High St Kings Heath"
2011,"Birmingham","High̴St,̴Kings̴Heath","High St, Kings Heath"
2011,"Birmingham","Hob̴Moor̴Rd̴At̴Starbank̴Rd","Hob Moor Rd At Starbank Rd"
2011,"Birmingham","Holloway̴Head̴Bham̴City̴Centre","Holloway Head Bham City Centre"
2011,"Birmingham","Hollywell̴Rd","Hollywell Rd"
2011,"Birmingham","Home̴Address","Home Address"
2011,"Birmingham","Home̴Address","Home Address"
2011,"Birmingham","Homer̴St","Homer St"
2011,"Birmingham","Hunters̴Moon̴Public̴House","Hunters Moon Public House"
2011,"Birmingham","Hurst̴St","Hurst St"
2011,"Birmingham","Hurst̴St","Hurst St"
2011,"Birmingham","Hurst̴St","Hurst St"
2011,"Birmingham","Hurst̴St,̴Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Kings̴Heath̴High̴St","Kings Heath High St"
2011,"Birmingham","Knowle̴Rd,̴Small̴Heath,̴Bham","Knowle Rd, Small Heath, Bham"
2011,"Birmingham","Ladypool̴Rd","Ladypool Rd"
2011,"Birmingham","Ladypool̴Rd","Ladypool Rd"
2011,"Birmingham","Ladywell̴Walk","Ladywell Walk"
2011,"Birmingham","Lea̴Hall̴Rd","Lea Hall Rd"
2011,"Birmingham","Lea̴Hall̴Rd","Lea Hall Rd"
